sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
468,618,1175,16282,-167,-120,37
469,568,1178,16292,-163,-120,35
470,592,1189,16295,-176,-139,54
471,595,1183,16313,-165,-122,17
472,590,1186,16316,-145,-121,43
473,613,1170,16304,-160,-125,46
474,570,1172,16317,-151,-122,35
475,607,1189,16312,-158,-109,35
476,606,1181,16305,-175,-126,16
477,609,1181,16303,-143,-139,20
478,628,1167,16289,-160,-120,45
479,622,1168,16304,-158,-125,41
480,597,1179,16297,-164,-125,27
481,601,1162,16310,-166,-121,20
482,598,1176,16278,-170,-105,38
483,594,1164,16316,-160,-128,44
484,587,1148,16331,-147,-124,35
485,597,1195,16309,-165,-126,12
486,590,1216,16289,-181,-115,35
487,582,1173,16287,-162,-115,7
488,623,1159,16286,-156,-117,20
489,625,1179,16304,-161,-125,42
490,582,1173,16251,-135,-130,37
491,584,1168,16284,-144,-136,41
492,648,1171,16289,-140,-112,39
493,644,1178,16256,-152,-121,36
494,619,1180,16310,-156,-124,27
495,580,1168,16318,-147,-135,36
496,579,1201,16316,-171,-115,32
497,577,1160,16333,-170,-110,26
498,610,1147,16277,-169,-118,23
499,606,1162,16319,-171,-129,40
500,606,1170,16302,-176,-106,30
501,596,1177,16292,-175,-139,30
502,602,1183,16266,-144,-147,39
503,622,1204,16306,-146,-118,26
504,602,1176,16294,-171,-114,33
505,569,1170,16290,-173,-125,30
506,578,1164,16300,-157,-132,36
507,600,1154,16315,-181,-118,40
508,634,1173,16311,-178,-124,42
509,593,1189,16314,-150,-114,20
510,582,1191,16304,-148,-133,29
511,618,1175,16269,-143,-135,32
512,648,1179,16292,-149,-125,9
513,565,1178,16332,-172,-107,29
514,608,1145,16265,-161,-121,18
515,612,1198,16296,-154,-127,35
516,600,1206,16319,-169,-127,38
517,592,1165,16290,-153,-142,32
518,621,1169,16284,-169,-123,27
519,612,1167,16289,-171,-131,28
520,603,1178,16305,-148,-126,22
521,608,1178,16306,-164,-119,32
522,606,1168,16326,-163,-143,36
523,585,1220,16302,-151,-137,38
524,624,1178,16294,-161,-122,57
525,630,1157,16285,-177,-123,24
526,601,1155,16332,-155,-137,18
527,603,1162,16302,-145,-132,25
528,584,1181,16307,-166,-141,32
529,578,1170,16303,-175,-133,41
530,595,1200,16312,-156,-124,12
531,612,1187,16301,-158,-127,31
532,607,1176,16326,-156,-122,43
533,584,1161,16290,-138,-126,32
534,622,1183,16330,-158,-119,42
535,607,1194,16325,-161,-116,18
536,639,1196,16291,-154,-142,40
537,629,1197,16295,-146,-133,34
538,617,1175,16325,-156,-119,30
539,609,1183,16316,-173,-123,34
540,583,1195,16273,-185,-122,49
541,641,1166,16290,-171,-118,18
542,616,1182,16304,-167,-123,36
543,582,1192,16307,-157,-105,41
544,620,1160,16314,-156,-129,29
545,636,1186,16286,-163,-135,30
546,609,1186,16283,-169,-106,39
547,615,1166,16289,-181,-111,33
548,597,1171,16319,-156,-123,26
549,603,1176,16309,-167,-140,12
550,630,1188,16267,-172,-152,37
551,591,1185,16308,-159,-145,27
552,576,1191,16269,-161,-125,29
553,597,1156,16297,-185,-133,39
554,595,1156,16330,-189,-142,24
555,596,1186,16322,-176,-124,36
556,618,1189,16287,-150,-103,35
557,627,1191,16261,-157,-115,24
558,594,1168,16301,-156,-113,33
559,586,1164,16319,-145,-134,15
560,609,1180,16289,-138,-127,3
561,588,1165,16314,-166,-104,25
562,619,1181,16310,-154,-101,14
563,582,1193,16290,-163,-133,21
564,568,1193,16310,-160,-124,17
565,598,1175,16291,-169,-110,16
566,589,1184,16304,-172,-139,32
567,565,1181,16294,-179,-121,37
568,597,1179,16285,-166,-110,32
569,628,1183,16273,-157,-126,35
570,612,1152,16300,-153,-119,37
571,617,1182,16316,-187,-111,31
572,608,1192,16284,-180,-126,44
573,612,1180,16314,-168,-129,38
574,595,1196,16292,-156,-120,15
575,609,1165,16296,-157,-104,27
576,597,1175,16311,-168,-143,40
577,595,1166,16305,-157,-162,32
578,621,1181,16336,-143,-128,41
579,601,1170,16294,-180,-126,40
580,583,1195,16320,-176,-113,39
581,594,1191,16342,-183,-126,22
582,588,1190,16267,-163,-119,28
583,595,1219,16305,-157,-120,42
584,602,1209,16307,-173,-111,46
585,634,1179,16298,-184,-119,42
586,597,1167,16325,-173,-101,32
587,581,1184,16299,-153,-118,19
588,571,1184,16289,-151,-114,21
589,598,1167,16333,-172,-101,41
590,604,1180,16278,-172,-101,28
591,600,1199,16327,-159,-119,31
592,595,1186,16296,-170,-115,22
593,607,1189,16267,-145,-127,34
594,584,1173,16286,-165,-110,48
595,581,1169,16323,-158,-99,35
596,629,1148,16268,-177,-133,49
597,579,1160,16314,-167,-123,26
598,587,1183,16286,-158,-112,46
599,602,1162,16309,-157,-134,21
600,606,1177,16313,-165,-112,28
601,637,1186,16298,-170,-124,37
602,618,1181,16306,-152,-114,32
603,585,1194,16275,-154,-108,15
604,606,1172,16282,-162,-144,13
605,606,1184,16279,-166,-125,47
606,579,1160,16311,-167,-124,53
607,618,1179,16279,-199,-118,36
608,604,1168,16260,-179,-92,24
609,585,1167,16317,-160,-136,42
610,601,1203,16348,-172,-130,32
611,625,1182,16317,-168,-119,35
612,608,1181,16294,-171,-135,30
613,623,1171,16310,-161,-126,31
614,586,1173,16289,-163,-132,37
615,591,1175,16257,-173,-132,27
616,615,1191,16329,-172,-131,14
617,608,1195,16278,-158,-131,31
618,584,1170,16304,-152,-131,36
619,618,1160,16332,-186,-127,20
620,596,1172,16246,-172,-98,35
621,595,1184,16298,-150,-104,51
622,597,1185,16320,-158,-122,34
623,574,1168,16326,-150,-129,31
624,612,1184,16262,-196,-132,30
625,628,1126,16302,-158,-127,13
626,622,1162,16295,-148,-106,21
627,603,1173,16295,-145,-121,26
628,594,1179,16286,-146,-123,46
629,614,1166,16312,-177,-132,27
630,630,1174,16322,-160,-112,37
631,646,1186,16311,-154,-102,20
632,600,1187,16279,-178,-128,24
633,568,1190,16280,-163,-129,20
634,611,1174,16306,-165,-108,27
635,601,1193,16328,-159,-132,32
636,613,1177,16308,-163,-113,38
637,600,1177,16314,-148,-118,29
638,579,1161,16283,-139,-116,17
639,596,1200,16310,-163,-123,26
640,611,1169,16282,-176,-129,38
641,616,1192,16276,-157,-134,50
642,628,1185,16272,-147,-127,45
643,584,1141,16294,-162,-119,21
644,559,1170,16311,-178,-137,24
645,612,1163,16298,-155,-113,22
646,595,1164,16350,-171,-105,29
647,584,1162,16315,-176,-119,44
648,598,1166,16295,-158,-140,40
649,579,1163,16281,-154,-124,39
650,596,1170,16306,-142,-110,39
651,590,1174,16293,-171,-100,47
652,588,1189,16290,-165,-102,39
653,634,1184,16311,-166,-123,38
654,596,1171,16313,-161,-132,48
655,601,1168,16323,-151,-127,40
656,602,1205,16284,-155,-113,29
657,605,1163,16321,-152,-119,16
658,578,1166,16310,-156,-128,26
659,629,1202,16281,-166,-118,29
660,600,1177,16284,-157,-137,31
661,609,1167,16320,-158,-114,34
662,612,1178,16261,-173,-126,36
663,580,1165,16278,-157,-107,34
664,615,1174,16331,-155,-123,19
665,588,1175,16282,-165,-134,37
666,619,1183,16276,-175,-117,38
667,575,1175,16289,-176,-121,11
668,588,1200,16300,-143,-134,22
669,604,1201,16252,-147,-143,40
670,582,1186,16293,-175,-121,25
671,611,1184,16316,-164,-135,28
672,599,1172,16302,-161,-146,9
673,612,1175,16330,-155,-129,27
674,611,1160,16311,-175,-130,37
675,588,1191,16280,-145,-135,31
676,597,1189,16301,-159,-128,40
677,577,1172,16246,-155,-128,47
678,583,1182,16282,-144,-122,38
679,636,1167,16335,-146,-131,34
680,606,1144,16299,-168,-126,32
681,606,1153,16298,-175,-118,20
682,622,1161,16310,-181,-113,43
683,590,1168,16302,-182,-105,26
684,612,1160,16281,-158,-135,28
685,608,1176,16330,-166,-135,42
686,605,1176,16311,-160,-154,17
687,614,1193,16273,-166,-146,23
688,572,1182,16292,-167,-133,49
689,578,1210,16330,-179,-131,34
690,605,1196,16328,-183,-116,39
691,600,1167,16326,-160,-117,48
692,583,1167,16302,-166,-121,27
693,595,1172,16312,-159,-150,18
694,590,1183,16325,-164,-152,15
695,611,1182,16305,-166,-136,11
696,620,1161,16268,-159,-135,36
697,565,1184,16285,-153,-101,38
698,608,1152,16298,-177,-133,20
699,594,1163,16333,-181,-128,40
700,609,1171,16322,-127,-127,29
701,605,1180,16283,-168,-123,24
702,604,1185,16314,-166,-136,37
703,592,1153,16285,-173,-136,28
704,582,1193,16295,-168,-117,43
705,615,1195,16311,-164,-100,39
706,614,1188,16304,-146,-108,25
707,609,1195,16247,-174,-122,24
708,599,1191,16288,-157,-112,28
709,618,1172,16314,-153,-109,33
710,590,1179,16314,-159,-122,29
711,593,1160,16311,-172,-142,18
712,598,1174,16295,-171,-129,14
713,604,1190,16327,-180,-153,28
714,607,1168,16291,-170,-136,21
715,611,1165,16338,-170,-139,41
716,591,1168,16314,-173,-116,43
717,583,1190,16281,-191,-107,36
718,593,1160,16289,-196,-107,46
719,633,1161,16343,-151,-143,40
720,644,1184,16319,-145,-140,19
721,620,1209,16291,-166,-88,28
722,597,1199,16276,-165,-108,51
